ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2009-09-18,2009,9,391,1001,113,1505,0.25980066445182700,0.25980066445182700
2009-09-19,2009,9,226,839,107,1172,0.19283276450511900,0.19283276450511900
2009-09-20,2009,9,174,499,70,743,0.23418573351278600,0.23418573351278600
2009-09-21,2009,9,180,568,101,849,0.21201413427561800,0.21201413427561800
2009-09-22,2009,9,299,910,130,1339,0.22330097087378600,0.22330097087378600
2009-09-23,2009,9,388,920,121,1429,0.271518544436669,0.271518544436669
2009-09-24,2009,9,287,891,109,1287,0.222999222999223,0.222999222999223
2009-09-25,2009,9,255,884,94,1233,0.20681265206812700,0.20681265206812700
2009-09-26,2009,9,188,726,73,987,0.19047619047619000,0.19047619047619000
2009-09-27,2009,9,134,514,48,696,0.1925287356321840,0.1925287356321840
2009-09-28,2009,9,156,462,64,682,0.2287390029325510,0.2287390029325510
2009-09-29,2009,9,213,642,78,933,0.2282958199356910,0.2282958199356910
2009-09-30,2009,9,272,883,99,1254,0.21690590111642700,0.21690590111642700
2009-10-01,2009,10,346,1074,92,1512,0.22883597883597900,0.22883597883597900
2009-10-02,2009,10,324,988,93,1405,0.23060498220640600,0.23060498220640600
2009-10-03,2009,10,262,868,84,1214,0.2158154859967050,0.2158154859967050
2009-10-04,2009,10,210,587,55,852,0.24647887323943700,0.24647887323943700
2009-10-05,2009,10,191,565,79,835,0.22874251497006000,0.22874251497006000
2009-10-06,2009,10,397,1009,86,1492,0.2660857908847190,0.2660857908847190
2009-10-07,2009,10,367,1040,101,1508,0.24336870026525200,0.24336870026525200
2009-10-08,2009,10,318,1075,101,1494,0.21285140562249000,0.21285140562249000
2009-10-09,2009,10,361,962,86,1409,0.25621007806955300,0.25621007806955300
2009-10-10,2009,10,234,844,70,1148,0.2038327526132400,0.2038327526132400
2009-10-11,2009,10,172,688,65,925,0.18594594594594600,0.18594594594594600
2009-10-12,2009,10,161,556,54,771,0.20881971465629100,0.20881971465629100
2009-10-13,2009,10,356,985,68,1409,0.2526614620298080,0.2526614620298080
2009-10-14,2009,10,331,1013,78,1422,0.23277074542897300,0.23277074542897300
2009-10-15,2009,10,298,713,65,1076,0.27695167286245400,0.27695167286245400
2009-10-16,2009,10,348,881,69,1298,0.26810477657935300,0.26810477657935300
2009-10-17,2009,10,263,849,74,1186,0.22175379426644200,0.22175379426644200
2009-10-18,2009,10,169,431,33,633,0.2669826224328590,0.2669826224328590
2009-10-19,2009,10,177,568,56,801,0.2209737827715360,0.2209737827715360
2009-10-20,2009,10,302,763,86,1151,0.26238053866203300,0.26238053866203300
2009-10-21,2009,10,385,1091,86,1562,0.24647887323943700,0.24647887323943700
2009-10-22,2009,10,378,956,89,1423,0.2656359803232610,0.2656359803232610
2009-10-23,2009,10,341,966,103,1410,0.24184397163120600,0.24184397163120600
2009-10-24,2009,10,232,631,61,924,0.2510822510822510,0.2510822510822510
2009-10-25,2009,10,171,511,48,730,0.23424657534246600,0.23424657534246600
2009-10-26,2009,10,195,588,52,835,0.23353293413173700,0.23353293413173700
2009-10-27,2009,10,284,832,71,1187,0.2392586352148270,0.2392586352148270
2009-10-28,2009,10,284,745,69,1098,0.2586520947176690,0.2586520947176690
2009-10-29,2009,10,332,717,87,1136,0.29225352112676100,0.29225352112676100
2009-10-30,2009,10,307,894,81,1282,0.23946957878315100,0.23946957878315100
2009-10-31,2009,10,228,612,56,896,0.2544642857142860,0.2544642857142860
2009-11-01,2009,11,140,552,44,736,0.19021739130434800,0.19021739130434800
2009-11-02,2009,11,187,505,56,748,0.25,0.25
2009-11-03,2009,11,249,709,79,1037,0.24011571841851500,0.24011571841851500
2009-11-04,2009,11,330,859,85,1274,0.25902668759811600,0.25902668759811600
2009-11-05,2009,11,327,886,71,1284,0.2546728971962620,0.2546728971962620
2009-11-06,2009,11,321,920,66,1307,0.24560061208875300,0.24560061208875300
2009-11-07,2009,11,275,896,69,1240,0.2217741935483870,0.2217741935483870
2009-11-08,2009,11,241,578,54,873,0.27605956471935900,0.27605956471935900
2009-11-09,2009,11,202,587,65,854,0.23653395784543300,0.23653395784543300
2009-11-10,2009,11,367,973,77,1417,0.2589978828510940,0.2589978828510940
2009-11-11,2009,11,357,1020,71,1448,0.24654696132596700,0.24654696132596700
2009-11-12,2009,11,325,876,76,1277,0.2545027407987470,0.2545027407987470
2009-11-13,2009,11,361,989,89,1439,0.250868658790827,0.250868658790827
2009-11-14,2009,11,237,766,64,1067,0.22211808809747000,0.22211808809747000
2009-11-15,2009,11,189,493,56,738,0.25609756097561000,0.25609756097561000
2009-11-16,2009,11,212,638,43,893,0.2374020156774920,0.2374020156774920
2009-11-17,2009,11,356,1040,90,1486,0.2395693135935400,0.2395693135935400
2009-11-18,2009,11,386,979,94,1459,0.26456477039067900,0.26456477039067900
2009-11-19,2009,11,341,984,80,1405,0.24270462633452000,0.24270462633452000
2009-11-20,2009,11,371,1109,102,1582,0.2345132743362830,0.2345132743362830
2009-11-21,2009,11,287,915,71,1273,0.22545168892380200,0.22545168892380200
2009-11-22,2009,11,137,534,74,745,0.18389261744966400,0.18389261744966400
2009-11-23,2009,11,204,623,53,880,0.2318181818181820,0.2318181818181820
2009-11-24,2009,11,326,959,75,1360,0.23970588235294100,0.23970588235294100
2009-11-25,2009,11,249,700,60,1009,0.24677898909811700,0.24677898909811700
2009-11-26,2009,11,78,232,18,328,0.23780487804878000,0.23780487804878000
2009-11-27,2009,11,226,833,50,1109,0.2037871956717760,0.2037871956717760
2009-11-28,2009,11,226,749,63,1038,0.21772639691714800,0.21772639691714800
2009-11-29,2009,11,146,512,57,715,0.2041958041958040,0.2041958041958040
2009-11-30,2009,11,145,458,58,661,0.21936459909228400,0.21936459909228400
2009-12-01,2009,12,380,911,79,1370,0.2773722627737230,0.2773722627737230
2009-12-02,2009,12,356,993,94,1443,0.2467082467082470,0.2467082467082470
2009-12-03,2009,12,368,915,94,1377,0.2672476397966590,0.2672476397966590
2009-12-04,2009,12,353,1015,97,1465,0.24095563139931700,0.24095563139931700
2009-12-05,2009,12,229,733,53,1015,0.22561576354679800,0.22561576354679800
2009-12-06,2009,12,138,490,46,674,0.20474777448071200,0.20474777448071200
2009-12-07,2009,12,214,545,40,799,0.26783479349186500,0.26783479349186500
2009-12-08,2009,12,348,978,84,1410,0.24680851063829800,0.24680851063829800
2009-12-09,2009,12,317,877,87,1281,0.24746291959406700,0.24746291959406700
2009-12-10,2009,12,298,836,79,1213,0.24567188788128600,0.24567188788128600
2009-12-11,2009,12,247,829,58,1134,0.21781305114638400,0.21781305114638400
2009-12-12,2009,12,239,824,65,1128,0.21187943262411300,0.21187943262411300
2009-12-13,2009,12,140,457,39,636,0.22012578616352200,0.22012578616352200
2009-12-14,2009,12,209,543,64,816,0.25612745098039200,0.25612745098039200
2009-12-15,2009,12,298,867,59,1224,0.2434640522875820,0.2434640522875820
2009-12-16,2009,12,351,920,81,1352,0.25961538461538500,0.25961538461538500
2009-12-17,2009,12,235,758,75,1068,0.2200374531835210,0.2200374531835210
2009-12-18,2009,12,239,881,58,1178,0.2028862478777590,0.2028862478777590
2009-12-19,2009,12,143,485,43,671,0.21311475409836100,0.21311475409836100
2009-12-20,2009,12,70,286,22,378,0.18518518518518500,0.18518518518518500
2009-12-21,2009,12,176,433,34,643,0.2737169517884910,0.2737169517884910
2009-12-22,2009,12,298,770,67,1135,0.26255506607929500,0.26255506607929500
2009-12-23,2009,12,236,668,55,959,0.24608967674661100,0.24608967674661100
2009-12-24,2009,12,69,248,13,330,0.20909090909090900,0.20909090909090900
2009-12-25,2009,12,59,125,9,193,0.30569948186528500,0.30569948186528500
2009-12-26,2009,12,101,464,19,584,0.17294520547945200,0.17294520547945200
2009-12-27,2009,12,134,482,27,643,0.208398133748056,0.208398133748056
2009-12-28,2009,12,189,464,42,695,0.2719424460431660,0.2719424460431660
2009-12-29,2009,12,210,763,49,1022,0.2054794520547950,0.2054794520547950
2009-12-30,2009,12,266,816,55,1137,0.2339489885664030,0.2339489885664030
2009-12-31,2009,12,99,359,34,492,0.20121951219512200,0.20121951219512200
2010-01-01,2010,1,251,650,49,950,0.26421052631578900,0.26421052631578900
2010-01-02,2010,1,222,715,29,966,0.22981366459627300,0.22981366459627300
2010-01-03,2010,1,118,483,33,634,0.1861198738170350,0.1861198738170350
2010-01-04,2010,1,176,519,34,729,0.24142661179698200,0.24142661179698200
2010-01-05,2010,1,291,910,73,1274,0.22841444270015700,0.22841444270015700
2010-01-06,2010,1,370,978,69,1417,0.2611150317572340,0.2611150317572340
2010-01-07,2010,1,402,1075,107,1584,0.2537878787878790,0.2537878787878790
2010-01-08,2010,1,367,1020,81,1468,0.25,0.25
2010-01-09,2010,1,258,884,62,1204,0.21428571428571400,0.21428571428571400
2010-01-10,2010,1,156,535,36,727,0.21458046767537800,0.21458046767537800
2010-01-11,2010,1,214,618,62,894,0.23937360178970900,0.23937360178970900
2010-01-12,2010,1,289,977,64,1330,0.21729323308270700,0.21729323308270700
2010-01-13,2010,1,372,1088,90,1550,0.24,0.24
2010-01-14,2010,1,422,1011,108,1541,0.2738481505515900,0.2738481505515900
2010-01-15,2010,1,397,1136,94,1627,0.24400737553780000,0.24400737553780000
2010-01-16,2010,1,272,995,81,1348,0.20178041543026700,0.20178041543026700
2010-01-17,2010,1,163,499,37,699,0.23319027181688100,0.23319027181688100
2010-01-18,2010,1,188,652,112,952,0.19747899159663900,0.19747899159663900
2010-01-19,2010,1,360,1086,145,1591,0.2262727844123190,0.2262727844123190
2010-01-20,2010,1,427,1157,182,1766,0.24178935447338600,0.24178935447338600
2010-01-21,2010,1,360,1139,154,1653,0.2177858439201450,0.2177858439201450
2010-01-22,2010,1,425,1118,148,1691,0.25133057362507400,0.25133057362507400
2010-01-23,2010,1,277,928,105,1310,0.21145038167938900,0.21145038167938900
2010-01-24,2010,1,148,603,74,825,0.17939393939393900,0.17939393939393900
2010-01-25,2010,1,143,469,36,648,0.22067901234567900,0.22067901234567900
2010-01-26,2010,1,334,890,82,1306,0.2557427258805510,0.2557427258805510
2010-01-27,2010,1,380,970,87,1437,0.26443980514961700,0.26443980514961700
2010-01-28,2010,1,288,841,83,1212,0.2376237623762380,0.2376237623762380
2010-01-29,2010,1,339,841,72,1252,0.2707667731629390,0.2707667731629390
2010-01-30,2010,1,218,663,53,934,0.2334047109207710,0.2334047109207710
2010-01-31,2010,1,108,500,38,646,0.16718266253870000,0.16718266253870000
2010-02-01,2010,2,191,585,57,833,0.22929171668667500,0.22929171668667500
2010-02-02,2010,2,336,983,78,1397,0.24051539012168900,0.24051539012168900
2010-02-03,2010,2,330,993,99,1422,0.2320675105485230,0.2320675105485230
2010-02-04,2010,2,405,1042,93,1540,0.262987012987013,0.262987012987013
2010-02-05,2010,2,391,1032,85,1508,0.2592838196286470,0.2592838196286470
2010-02-06,2010,2,268,837,71,1176,0.22789115646258500,0.22789115646258500
2010-02-07,2010,2,113,438,43,594,0.19023569023569000,0.19023569023569000
2010-02-08,2010,2,205,559,53,817,0.25091799265605900,0.25091799265605900
2010-02-09,2010,2,382,981,91,1454,0.2627235213204950,0.2627235213204950
2010-02-10,2010,2,118,339,41,498,0.23694779116465900,0.23694779116465900
2010-02-11,2010,2,268,875,84,1227,0.21841890790546000,0.21841890790546000
2010-02-12,2010,2,389,1070,97,1556,0.25,0.25
2010-02-13,2010,2,265,889,67,1221,0.21703521703521700,0.21703521703521700
2010-02-14,2010,2,127,473,42,642,0.19781931464174500,0.19781931464174500
2010-02-15,2010,2,158,584,48,790,0.2,0.2
2010-02-16,2010,2,244,678,65,987,0.24721377912867300,0.24721377912867300
2010-02-17,2010,2,318,995,81,1394,0.22812051649928300,0.22812051649928300
2010-02-18,2010,2,361,1124,83,1568,0.2302295918367350,0.2302295918367350
2010-02-19,2010,2,326,1000,99,1425,0.2287719298245610,0.2287719298245610
2010-02-20,2010,2,272,982,72,1326,0.20512820512820500,0.20512820512820500
2010-02-21,2010,2,157,596,54,807,0.19454770755886000,0.19454770755886000
2010-02-22,2010,2,190,671,61,922,0.20607375271149700,0.20607375271149700
2010-02-23,2010,2,281,762,74,1117,0.25156669650850500,0.25156669650850500
2010-02-24,2010,2,405,1091,102,1598,0.25344180225281600,0.25344180225281600
2010-02-25,2010,2,270,692,70,1032,0.2616279069767440,0.2616279069767440
2010-02-26,2010,2,196,472,48,716,0.2737430167597770,0.2737430167597770
2010-02-27,2010,2,263,840,60,1163,0.22613929492691300,0.22613929492691300
2010-02-28,2010,2,130,544,56,730,0.1780821917808220,0.1780821917808220
2010-03-01,2010,3,190,689,90,969,0.19607843137254900,0.19607843137254900
2010-03-02,2010,3,336,1073,117,1526,0.22018348623853200,0.22018348623853200
2010-03-03,2010,3,422,1109,122,1653,0.25529340592861500,0.25529340592861500
2010-03-04,2010,3,386,1122,134,1642,0.2350791717417780,0.2350791717417780
2010-03-05,2010,3,355,1175,155,1685,0.21068249258160200,0.21068249258160200
2010-03-06,2010,3,239,1048,97,1384,0.1726878612716760,0.1726878612716760
2010-03-07,2010,3,177,660,71,908,0.1949339207048460,0.1949339207048460
2010-03-08,2010,3,207,691,53,951,0.21766561514195600,0.21766561514195600
2010-03-09,2010,3,300,977,80,1357,0.2210759027266030,0.2210759027266030
2010-03-10,2010,3,392,1045,98,1535,0.2553745928338760,0.2553745928338760
2010-03-11,2010,3,365,1102,90,1557,0.23442517662170800,0.23442517662170800
2010-03-12,2010,3,351,964,84,1399,0.25089349535382400,0.25089349535382400
2010-03-13,2010,3,148,662,53,863,0.17149478563151800,0.17149478563151800
2010-03-14,2010,3,138,477,39,654,0.21100917431192700,0.21100917431192700
2010-03-15,2010,3,187,547,42,776,0.24097938144329900,0.24097938144329900
2010-03-16,2010,3,393,959,88,1440,0.27291666666666700,0.27291666666666700
2010-03-17,2010,3,328,938,86,1352,0.24260355029585800,0.24260355029585800
2010-03-18,2010,3,372,1047,91,1510,0.24635761589404000,0.24635761589404000
2010-03-19,2010,3,357,1064,100,1521,0.23471400394477300,0.23471400394477300
2010-03-20,2010,3,235,766,55,1056,0.22253787878787900,0.22253787878787900
2010-03-21,2010,3,161,620,52,833,0.19327731092437000,0.19327731092437000
2010-03-22,2010,3,175,549,36,760,0.23026315789473700,0.23026315789473700
2010-03-23,2010,3,307,954,62,1323,0.23204837490551800,0.23204837490551800
2010-03-24,2010,3,327,1072,99,1498,0.21829105473965300,0.21829105473965300
2010-03-25,2010,3,380,1074,85,1539,0.24691358024691400,0.24691358024691400
2010-03-26,2010,3,320,881,77,1278,0.25039123630672900,0.25039123630672900
2010-03-27,2010,3,253,806,68,1127,0.22448979591836700,0.22448979591836700
2010-03-28,2010,3,169,521,47,737,0.22930800542740800,0.22930800542740800
2010-03-29,2010,3,124,454,38,616,0.2012987012987010,0.2012987012987010
2010-03-30,2010,3,201,619,60,880,0.22840909090909100,0.22840909090909100
2010-03-31,2010,3,288,864,65,1217,0.23664749383730500,0.23664749383730500
2010-04-01,2010,4,330,1074,89,1493,0.22103148024112500,0.22103148024112500
2010-04-02,2010,4,309,941,91,1341,0.23042505592841200,0.23042505592841200
2010-04-03,2010,4,255,792,80,1127,0.22626441881100300,0.22626441881100300
2010-04-04,2010,4,141,382,52,575,0.24521739130434800,0.24521739130434800
2010-04-05,2010,4,198,560,46,804,0.2462686567164180,0.2462686567164180
2010-04-06,2010,4,316,964,110,1390,0.2273381294964030,0.2273381294964030
2010-04-07,2010,4,371,1104,127,1602,0.23158551810237200,0.23158551810237200
2010-04-08,2010,4,375,1052,106,1533,0.2446183953033270,0.2446183953033270
2010-04-09,2010,4,314,1016,98,1428,0.21988795518207300,0.21988795518207300
2010-04-10,2010,4,246,805,48,1099,0.22383985441310300,0.22383985441310300
2010-04-11,2010,4,142,572,65,779,0.1822849807445440,0.1822849807445440
2010-04-12,2010,4,238,622,69,929,0.25618945102260500,0.25618945102260500
2010-04-13,2010,4,319,966,87,1372,0.2325072886297380,0.2325072886297380
2010-04-14,2010,4,363,1071,128,1562,0.2323943661971830,0.2323943661971830
2010-04-15,2010,4,335,1005,115,1455,0.23024054982817900,0.23024054982817900
2010-04-16,2010,4,356,950,107,1413,0.2519462137296530,0.2519462137296530
2010-04-17,2010,4,253,944,70,1267,0.19968429360694600,0.19968429360694600
2010-04-18,2010,4,165,566,57,788,0.20939086294416200,0.20939086294416200
2010-04-19,2010,4,194,609,62,865,0.22427745664739900,0.22427745664739900
2010-04-20,2010,4,413,1047,156,1616,0.2555693069306930,0.2555693069306930
2010-04-21,2010,4,443,1017,140,1600,0.276875,0.276875
2010-04-22,2010,4,425,962,146,1533,0.27723418134377000,0.27723418134377000
2010-04-23,2010,4,390,1045,151,1586,0.2459016393442620,0.2459016393442620
2010-04-24,2010,4,297,845,101,1243,0.23893805309734500,0.23893805309734500
2010-04-25,2010,4,126,566,46,738,0.17073170731707300,0.17073170731707300
2010-04-26,2010,4,188,481,52,721,0.260748959778086,0.260748959778086
2010-04-27,2010,4,336,956,90,1382,0.24312590448625200,0.24312590448625200
2010-04-28,2010,4,389,1064,97,1550,0.2509677419354840,0.2509677419354840
2010-04-29,2010,4,329,1016,90,1435,0.22926829268292700,0.22926829268292700
2010-04-30,2010,4,313,936,111,1360,0.2301470588235290,0.2301470588235290
2010-05-01,2010,5,242,902,91,1235,0.19595141700404900,0.19595141700404900
2010-05-02,2010,5,156,541,73,770,0.2025974025974030,0.2025974025974030
2010-05-03,2010,5,193,492,67,752,0.2566489361702130,0.2566489361702130
2010-05-04,2010,5,318,934,99,1351,0.23538119911176900,0.23538119911176900
2010-05-05,2010,5,380,1094,121,1595,0.23824451410658300,0.23824451410658300
2010-05-06,2010,5,355,1035,141,1531,0.2318745917700850,0.2318745917700850
2010-05-07,2010,5,344,1101,129,1574,0.21855146124523500,0.21855146124523500
2010-05-08,2010,5,272,886,74,1232,0.22077922077922100,0.22077922077922100
2010-05-09,2010,5,115,487,38,640,0.1796875,0.1796875
2010-05-10,2010,5,237,640,67,944,0.2510593220338980,0.2510593220338980
2010-05-11,2010,5,316,967,98,1381,0.22881969587255600,0.22881969587255600
2010-05-12,2010,5,380,954,89,1423,0.2670414617006330,0.2670414617006330
2010-05-13,2010,5,367,1105,143,1615,0.22724458204334400,0.22724458204334400
2010-05-14,2010,5,364,997,128,1489,0.24445936870382800,0.24445936870382800
2010-05-15,2010,5,240,827,98,1165,0.20600858369098700,0.20600858369098700
2010-05-16,2010,5,155,562,63,780,0.1987179487179490,0.1987179487179490
2010-05-17,2010,5,215,650,60,925,0.23243243243243200,0.23243243243243200
2010-05-18,2010,5,294,728,79,1101,0.2670299727520440,0.2670299727520440
2010-05-19,2010,5,401,1009,113,1523,0.26329612606697300,0.26329612606697300
2010-05-20,2010,5,434,1151,128,1713,0.2533566841798020,0.2533566841798020
2010-05-21,2010,5,338,1036,124,1498,0.22563417890520700,0.22563417890520700
2010-05-22,2010,5,266,897,93,1256,0.21178343949044600,0.21178343949044600
2010-05-23,2010,5,179,516,41,736,0.24320652173913000,0.24320652173913000
2010-05-24,2010,5,254,679,75,1008,0.251984126984127,0.251984126984127
2010-05-25,2010,5,345,1005,82,1432,0.2409217877094970,0.2409217877094970
2010-05-26,2010,5,381,962,100,1443,0.26403326403326400,0.26403326403326400
2010-05-27,2010,5,351,917,101,1369,0.25639152666179700,0.25639152666179700
2010-05-28,2010,5,318,916,100,1334,0.2383808095952020,0.2383808095952020
2010-05-29,2010,5,212,841,82,1135,0.186784140969163,0.186784140969163
2010-05-30,2010,5,131,515,66,712,0.18398876404494400,0.18398876404494400
2010-05-31,2010,5,109,381,48,538,0.20260223048327100,0.20260223048327100
2010-06-01,2010,6,303,867,67,1237,0.24494745351657200,0.24494745351657200
2010-06-02,2010,6,364,1099,81,1544,0.23575129533678800,0.23575129533678800
2010-06-03,2010,6,391,981,95,1467,0.2665303340149970,0.2665303340149970
2010-06-04,2010,6,335,1091,99,1525,0.21967213114754100,0.21967213114754100
2010-06-05,2010,6,238,880,72,1190,0.2,0.2
2010-06-06,2010,6,144,520,57,721,0.19972260748959800,0.19972260748959800
2010-06-07,2010,6,202,622,50,874,0.2311212814645310,0.2311212814645310
2010-06-08,2010,6,364,1049,105,1518,0.23978919631093500,0.23978919631093500
2010-06-09,2010,6,272,921,73,1266,0.21484992101105800,0.21484992101105800
2010-06-10,2010,6,322,1006,100,1428,0.22549019607843100,0.22549019607843100
2010-06-11,2010,6,323,1062,102,1487,0.2172158708809680,0.2172158708809680
2010-06-12,2010,6,228,822,95,1145,0.19912663755458500,0.19912663755458500
2010-06-13,2010,6,182,574,90,846,0.21513002364066200,0.21513002364066200
2010-06-14,2010,6,270,554,55,879,0.30716723549488100,0.30716723549488100
2010-06-15,2010,6,316,940,101,1357,0.2328666175386880,0.2328666175386880
2010-06-16,2010,6,373,1082,104,1559,0.23925593329057100,0.23925593329057100
2010-06-17,2010,6,341,981,88,1410,0.24184397163120600,0.24184397163120600
2010-06-18,2010,6,307,1055,107,1469,0.2089857045609260,0.2089857045609260
2010-06-19,2010,6,198,833,91,1122,0.17647058823529400,0.17647058823529400
2010-06-20,2010,6,93,360,87,540,0.17222222222222200,0.17222222222222200
2010-06-21,2010,6,161,579,47,787,0.204574332909784,0.204574332909784
2010-06-22,2010,6,280,897,71,1248,0.22435897435897400,0.22435897435897400
2010-06-23,2010,6,397,1041,106,1544,0.25712435233160600,0.25712435233160600
2010-06-24,2010,6,363,872,93,1328,0.2733433734939760,0.2733433734939760
2010-06-25,2010,6,324,909,89,1322,0.24508320726172500,0.24508320726172500
2010-06-26,2010,6,230,776,74,1080,0.21296296296296300,0.21296296296296300
2010-06-27,2010,6,166,493,54,713,0.23281907433380100,0.23281907433380100
2010-06-28,2010,6,212,505,52,769,0.2756827048114430,0.2756827048114430
2010-06-29,2010,6,314,824,92,1230,0.2552845528455290,0.2552845528455290
2010-06-30,2010,6,272,832,86,1190,0.22857142857142900,0.22857142857142900
2010-07-01,2010,7,373,989,96,1458,0.2558299039780520,0.2558299039780520
2010-07-02,2010,7,224,802,63,1089,0.2056932966023880,0.2056932966023880
2010-07-03,2010,7,203,721,84,1008,0.2013888888888890,0.2013888888888890
2010-07-04,2010,7,144,474,52,670,0.21492537313432800,0.21492537313432800
2010-07-05,2010,7,179,505,63,747,0.23962516733601100,0.23962516733601100
2010-07-06,2010,7,310,767,75,1152,0.2690972222222220,0.2690972222222220
2010-07-07,2010,7,348,961,76,1385,0.2512635379061370,0.2512635379061370
2010-07-08,2010,7,321,989,93,1403,0.22879543834640100,0.22879543834640100
2010-07-09,2010,7,295,944,89,1328,0.22213855421686700,0.22213855421686700
2010-07-10,2010,7,298,815,84,1197,0.24895572263993300,0.24895572263993300
2010-07-11,2010,7,143,537,74,754,0.1896551724137930,0.1896551724137930
2010-07-12,2010,7,185,561,70,816,0.2267156862745100,0.2267156862745100
2010-07-13,2010,7,314,859,84,1257,0.2498011137629280,0.2498011137629280
2010-07-14,2010,7,394,908,95,1397,0.28203292770221900,0.28203292770221900
2010-07-15,2010,7,311,989,113,1413,0.22009907997169100,0.22009907997169100
2010-07-16,2010,7,337,966,110,1413,0.23849964614295800,0.23849964614295800
2010-07-17,2010,7,245,786,93,1124,0.2179715302491100,0.2179715302491100
2010-07-18,2010,7,163,559,59,781,0.2087067861715750,0.2087067861715750
2010-07-19,2010,7,201,528,57,786,0.25572519083969500,0.25572519083969500
2010-07-20,2010,7,309,895,82,1286,0.24027993779160200,0.24027993779160200
2010-07-21,2010,7,365,970,113,1448,0.2520718232044200,0.2520718232044200
2010-07-22,2010,7,332,910,103,1345,0.24684014869888500,0.24684014869888500
2010-07-23,2010,7,277,811,95,1183,0.23415046491969600,0.23415046491969600
2010-07-24,2010,7,230,668,93,991,0.23208879919273500,0.23208879919273500
2010-07-25,2010,7,159,565,68,792,0.20075757575757600,0.20075757575757600
2010-07-26,2010,7,153,504,42,699,0.21888412017167400,0.21888412017167400
2010-07-27,2010,7,339,832,85,1256,0.26990445859872600,0.26990445859872600
2010-07-28,2010,7,327,718,95,1140,0.2868421052631580,0.2868421052631580
2010-07-29,2010,7,350,916,106,1372,0.25510204081632700,0.25510204081632700
2010-07-30,2010,7,277,853,89,1219,0.22723543888433100,0.22723543888433100
2010-07-31,2010,7,229,719,84,1032,0.22189922480620200,0.22189922480620200
2010-08-01,2010,8,194,554,75,823,0.23572296476306200,0.23572296476306200
2010-08-02,2010,8,184,565,58,807,0.22800495662949200,0.22800495662949200
2010-08-03,2010,8,362,883,74,1319,0.2744503411675510,0.2744503411675510
2010-08-04,2010,8,379,978,110,1467,0.25835037491479200,0.25835037491479200
2010-08-05,2010,8,292,931,105,1328,0.21987951807228900,0.21987951807228900
2010-08-06,2010,8,329,930,88,1347,0.24424647364513700,0.24424647364513700
2010-08-07,2010,8,221,812,103,1136,0.19454225352112700,0.19454225352112700
2010-08-08,2010,8,197,606,65,868,0.2269585253456220,0.2269585253456220
2010-08-09,2010,8,188,549,46,783,0.24010217113665400,0.24010217113665400
2010-08-10,2010,8,311,859,81,1251,0.24860111910471600,0.24860111910471600
2010-08-11,2010,8,386,1045,94,1525,0.25311475409836100,0.25311475409836100
2010-08-12,2010,8,308,893,90,1291,0.238574748257165,0.238574748257165
2010-08-13,2010,8,340,972,92,1404,0.24216524216524200,0.24216524216524200
2010-08-14,2010,8,254,859,106,1219,0.20836751435603000,0.20836751435603000
2010-08-15,2010,8,134,550,66,750,0.17866666666666700,0.17866666666666700
2010-08-16,2010,8,168,578,61,807,0.20817843866171000,0.20817843866171000
2010-08-17,2010,8,339,887,74,1300,0.26076923076923100,0.26076923076923100
2010-08-18,2010,8,387,1040,86,1513,0.255783212161269,0.255783212161269
2010-08-19,2010,8,328,883,99,1310,0.250381679389313,0.250381679389313
2010-08-20,2010,8,355,937,115,1407,0.2523098791755510,0.2523098791755510
2010-08-21,2010,8,210,777,101,1088,0.19301470588235300,0.19301470588235300
2010-08-22,2010,8,143,495,66,704,0.203125,0.203125
2010-08-23,2010,8,157,469,56,682,0.23020527859237500,0.23020527859237500
2010-08-24,2010,8,297,845,67,1209,0.2456575682382130,0.2456575682382130
2010-08-25,2010,8,358,893,96,1347,0.2657757980697850,0.2657757980697850
2010-08-26,2010,8,333,921,88,1342,0.2481371087928470,0.2481371087928470
2010-08-27,2010,8,305,890,108,1303,0.2340752110514200,0.2340752110514200
2010-08-28,2010,8,214,803,100,1117,0.19158460161145900,0.19158460161145900
2010-08-29,2010,8,159,587,71,817,0.19461444308445500,0.19461444308445500
2010-08-30,2010,8,166,569,51,786,0.21119592875318100,0.21119592875318100
2010-08-31,2010,8,258,733,82,1073,0.24044734389562000,0.24044734389562000
2010-09-01,2010,9,353,963,99,1415,0.24946996466431100,0.24946996466431100
2010-09-02,2010,9,325,912,129,1366,0.23792093704246000,0.23792093704246000
2010-09-03,2010,9,338,911,93,1342,0.2518628912071540,0.2518628912071540
2010-09-04,2010,9,274,843,109,1226,0.2234910277324630,0.2234910277324630
2010-09-05,2010,9,154,584,58,796,0.1934673366834170,0.1934673366834170
2010-09-06,2010,9,130,451,45,626,0.20766773162939300,0.20766773162939300
2010-09-07,2010,9,277,822,67,1166,0.23756432246998300,0.23756432246998300
2010-09-08,2010,9,291,1063,110,1464,0.1987704918032790,0.1987704918032790
2010-09-09,2010,9,318,953,104,1375,0.23127272727272700,0.23127272727272700
2010-09-10,2010,9,341,944,110,1395,0.24444444444444400,0.24444444444444400
2010-09-11,2010,9,223,801,69,1093,0.2040256175663310,0.2040256175663310
2010-09-12,2010,9,130,519,47,696,0.1867816091954020,0.1867816091954020
2010-09-13,2010,9,159,519,54,732,0.21721311475409800,0.21721311475409800
