ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2023-04-02,2023,4,186,287,3,476,0.3907563025210080,0.3907563025210080
2023-04-03,2023,4,224,280,4,508,0.4409448818897640,0.4409448818897640
2023-04-04,2023,4,347,414,6,767,0.45241199478487600,0.45241199478487600
2023-04-05,2023,4,351,397,4,752,0.46675531914893600,0.46675531914893600
2023-04-06,2023,4,349,451,3,803,0.43462017434620200,0.43462017434620200
2023-04-07,2023,4,284,369,3,656,0.4329268292682930,0.4329268292682930
2023-04-08,2023,4,228,280,3,511,0.4461839530332680,0.4461839530332680
2023-04-09,2023,4,148,191,2,341,0.4340175953079180,0.4340175953079180
2023-04-10,2023,4,202,291,4,497,0.40643863179074400,0.40643863179074400
2023-04-11,2023,4,371,344,1,716,0.5181564245810060,0.5181564245810060
2023-04-12,2023,4,388,442,6,836,0.46411483253588500,0.46411483253588500
2023-04-13,2023,4,349,385,3,737,0.4735413839891450,0.4735413839891450
2023-04-14,2023,4,273,351,5,629,0.43402225755166900,0.43402225755166900
2023-04-15,2023,4,189,284,0,473,0.39957716701902700,0.39957716701902700
2023-04-16,2023,4,175,236,1,412,0.42475728155339800,0.42475728155339800
2023-04-17,2023,4,236,275,0,511,0.461839530332681,0.461839530332681
2023-04-18,2023,4,341,407,3,751,0.4540612516644470,0.4540612516644470
2023-04-19,2023,4,375,443,3,821,0.45676004872107200,0.45676004872107200
2023-04-20,2023,4,322,392,3,717,0.4490934449093450,0.4490934449093450
2023-04-21,2023,4,265,338,2,605,0.4380165289256200,0.4380165289256200
2023-04-22,2023,4,176,249,3,428,0.411214953271028,0.411214953271028
2023-04-23,2023,4,184,239,2,425,0.4329411764705880,0.4329411764705880
2023-04-24,2023,4,272,285,3,560,0.4857142857142860,0.4857142857142860
2023-04-25,2023,4,341,350,7,698,0.4885386819484240,0.4885386819484240
2023-04-26,2023,4,348,477,8,833,0.4177671068427370,0.4177671068427370
2023-04-27,2023,4,307,365,4,676,0.4541420118343200,0.4541420118343200
2023-04-28,2023,4,263,362,7,632,0.4161392405063290,0.4161392405063290
2023-04-29,2023,4,157,282,2,441,0.35600907029478500,0.35600907029478500
2023-04-30,2023,4,140,264,0,404,0.3465346534653470,0.3465346534653470
2023-05-01,2023,5,226,333,4,563,0.40142095914742500,0.40142095914742500
2023-05-02,2023,5,315,411,3,729,0.43209876543209900,0.43209876543209900
2023-05-03,2023,5,435,501,5,941,0.4622741764080770,0.4622741764080770
2023-05-04,2023,5,343,447,7,797,0.43036386449184400,0.43036386449184400
2023-05-05,2023,5,263,370,3,636,0.41352201257861600,0.41352201257861600
2023-05-06,2023,5,211,340,5,556,0.37949640287769800,0.37949640287769800
2023-05-07,2023,5,159,263,2,424,0.375,0.375
2023-05-08,2023,5,205,299,4,508,0.4035433070866140,0.4035433070866140
2023-05-09,2023,5,330,459,7,796,0.41457286432160800,0.41457286432160800
2023-05-10,2023,5,342,404,10,756,0.4523809523809520,0.4523809523809520
2023-05-11,2023,5,360,419,5,784,0.45918367346938800,0.45918367346938800
2023-05-12,2023,5,318,349,6,673,0.4725111441307580,0.4725111441307580
2023-05-13,2023,5,218,317,4,539,0.4044526901669760,0.4044526901669760
2023-05-14,2023,5,167,248,0,415,0.40240963855421700,0.40240963855421700
2023-05-15,2023,5,218,253,1,472,0.461864406779661,0.461864406779661
2023-05-16,2023,5,368,407,8,783,0.46998722860791800,0.46998722860791800
